Isolate,Sequenceing_Date,Pool,MID_Tag,Location,Publication,Collection_Date,Age,Disease_Status
MUG26,NA,NA,NA,PNG_Mugil,tessema,2006,All,Asymptomatic
MUG27,NA,NA,NA,PNG_Mugil,tessema,2006,All,Asymptomatic
MUG28,NA,NA,NA,PNG_Mugil,tessema,2006,All,Asymptomatic
MUG29,NA,NA,NA,PNG_Mugil,tessema,2006,All,Asymptomatic
MUG30,NA,NA,NA,PNG_Mugil,tessema,2006,All,Asymptomatic
MUG31,NA,NA,NA,PNG_Mugil,tessema,2006,All,Asymptomatic
MUG32,NA,NA,NA,PNG_Mugil,tessema,2006,All,Asymptomatic
MUG33,NA,NA,NA,PNG_Mugil,tessema,2006,All,Asymptomatic
MUG34,NA,NA,NA,PNG_Mugil,tessema,2006,All,Asymptomatic
MUG35,NA,NA,NA,PNG_Mugil,tessema,2006,All,Asymptomatic
MUG7,NA,NA,NA,PNG_Mugil,tessema,2006,All,Asymptomatic
MUG1,NA,NA,NA,PNG_Mugil,tessema,2006,All,Asymptomatic
MUG10,NA,NA,NA,PNG_Mugil,tessema,2006,All,Asymptomatic
MUG6,NA,NA,NA,PNG_Mugil,tessema,2006,All,Asymptomatic
MUG8,NA,NA,NA,PNG_Mugil,tessema,2006,All,Asymptomatic
MUG2,NA,NA,NA,PNG_Mugil,tessema,2006,All,Asymptomatic
MUG4,NA,NA,NA,PNG_Mugil,tessema,2006,All,Asymptomatic
MUG3,NA,NA,NA,PNG_Mugil,tessema,2006,All,Asymptomatic
MUG9,NA,NA,NA,PNG_Mugil,tessema,2006,All,Asymptomatic
MUG5,NA,NA,NA,PNG_Mugil,tessema,2006,All,Asymptomatic
MUG11,NA,NA,NA,PNG_Mugil,tessema,2006,All,Asymptomatic
MUG12,NA,NA,NA,PNG_Mugil,tessema,2006,All,Asymptomatic
MUG13,NA,NA,NA,PNG_Mugil,tessema,2006,All,Asymptomatic
MUG14,NA,NA,NA,PNG_Mugil,tessema,2006,All,Asymptomatic
MUG15,NA,NA,NA,PNG_Mugil,tessema,2006,All,Asymptomatic
MUG16,NA,NA,NA,PNG_Mugil,tessema,2006,All,Asymptomatic
MUG17,NA,NA,NA,PNG_Mugil,tessema,2006,All,Asymptomatic
MUG18,NA,NA,NA,PNG_Mugil,tessema,2006,All,Asymptomatic
MUG19,NA,NA,NA,PNG_Mugil,tessema,2006,All,Asymptomatic
MUG20,NA,NA,NA,PNG_Mugil,tessema,2006,All,Asymptomatic
MUG21,NA,NA,NA,PNG_Mugil,tessema,2006,All,Asymptomatic
MUG22,NA,NA,NA,PNG_Mugil,tessema,2006,All,Asymptomatic
MUG23,NA,NA,NA,PNG_Mugil,tessema,2006,All,Asymptomatic
WOS18,NA,NA,NA,PNG_Wosera,tessema,2005,All,Asymptomatic
WOS19,NA,NA,NA,PNG_Wosera,tessema,2005,All,Asymptomatic
WOS20,NA,NA,NA,PNG_Wosera,tessema,2005,All,Asymptomatic
WOS22,NA,NA,NA,PNG_Wosera,tessema,2005,All,Asymptomatic
WOS23,NA,NA,NA,PNG_Wosera,tessema,2005,All,Asymptomatic
WOS24,NA,NA,NA,PNG_Wosera,tessema,2005,All,Asymptomatic
WOS25,NA,NA,NA,PNG_Wosera,tessema,2005,All,Asymptomatic
WOS26,NA,NA,NA,PNG_Wosera,tessema,2005,All,Asymptomatic
WOS27,NA,NA,NA,PNG_Wosera,tessema,2005,All,Asymptomatic
WOS28,NA,NA,NA,PNG_Wosera,tessema,2005,All,Asymptomatic
WOS1,NA,NA,NA,PNG_Wosera,tessema,2005,All,Asymptomatic
WOS2,NA,NA,NA,PNG_Wosera,tessema,2005,All,Asymptomatic
WOS8,NA,NA,NA,PNG_Wosera,tessema,2005,All,Asymptomatic
WOS9,NA,NA,NA,PNG_Wosera,tessema,2005,All,Asymptomatic
WOS10,NA,NA,NA,PNG_Wosera,tessema,2005,All,Asymptomatic
WOS11,NA,NA,NA,PNG_Wosera,tessema,2005,All,Asymptomatic
WOS12,NA,NA,NA,PNG_Wosera,tessema,2005,All,Asymptomatic
WOS13,NA,NA,NA,PNG_Wosera,tessema,2005,All,Asymptomatic
WOS14,NA,NA,NA,PNG_Wosera,tessema,2005,All,Asymptomatic
WOS15,NA,NA,NA,PNG_Wosera,tessema,2005,All,Asymptomatic
WOS16,NA,NA,NA,PNG_Wosera,tessema,2005,All,Asymptomatic
WOS17,NA,NA,NA,PNG_Wosera,tessema,2005,All,Asymptomatic
WOS21,NA,NA,NA,PNG_Wosera,tessema,2005,All,Asymptomatic
WOS29,NA,NA,NA,PNG_Wosera,tessema,2005,All,Asymptomatic
WOS30,NA,NA,NA,PNG_Wosera,tessema,2005,All,Asymptomatic
WOS31,NA,NA,NA,PNG_Wosera,tessema,2005,All,Asymptomatic
WOS32,NA,NA,NA,PNG_Wosera,tessema,2005,All,Asymptomatic
WOS33,NA,NA,NA,PNG_Wosera,tessema,2005,All,Asymptomatic
WOS3,NA,NA,NA,PNG_Wosera,tessema,2005,All,Asymptomatic
WOS4,NA,NA,NA,PNG_Wosera,tessema,2005,All,Asymptomatic
WOS5,NA,NA,NA,PNG_Wosera,tessema,2005,All,Asymptomatic
WOS6,NA,NA,NA,PNG_Wosera,tessema,2005,All,Asymptomatic
WOS7,NA,NA,NA,PNG_Wosera,tessema,2005,All,Asymptomatic
K118,13-Mar,P1,MID24,Thailand_Kanchanaburi,Pumpaibool,2006,All,Uncomplicated
K101,13-Mar,P1,MID23,Thailand_Kanchanaburi,Pumpaibool,2006,All,Uncomplicated
K127,12-Oct,P4,MID25,Thailand_Kanchanaburi,Pumpaibool,2006,All,Uncomplicated
K101,12-Oct,P3,MID23,Thailand_Kanchanaburi,Pumpaibool,2006,All,Uncomplicated
K92,12-Oct,P1,MID23,Thailand_Kanchanaburi,Pumpaibool,2006,All,Uncomplicated
K119,12-Oct,P2,MID25,Thailand_Kanchanaburi,Pumpaibool,2006,All,Uncomplicated
K126,12-Oct,P3,MID25,Thailand_Kanchanaburi,Pumpaibool,2006,All,Uncomplicated
K90,12-Oct,P3,MID22,Thailand_Kanchanaburi,Pumpaibool,2006,All,Uncomplicated
K95,12-Oct,P2,MID23,Thailand_Kanchanaburi,Pumpaibool,2006,All,Uncomplicated
MH43,13-Mar,P1,MID22,Thailand_Maehongson,Pumpaibool,2005,All,Uncomplicated
MH18,12-Oct,P2,MID20,Thailand_Maehongson,Pumpaibool,2005,All,Uncomplicated
MH11,12-Oct,P1,MID20,Thailand_Maehongson,Pumpaibool,2005,All,Uncomplicated
MH24,12-Oct,P4,MID20,Thailand_Maehongson,Pumpaibool,2005,All,Uncomplicated
MH43,12-Oct,P1,MID22,Thailand_Maehongson,Pumpaibool,2005,All,Uncomplicated
MH30,12-Oct,P2,MID21,Thailand_Maehongson,Pumpaibool,2005,All,Uncomplicated
MH19,12-Oct,P3,MID20,Thailand_Maehongson,Pumpaibool,2005,All,Uncomplicated
MH40,12-Oct,P4,MID21,Thailand_Maehongson,Pumpaibool,2005,All,Uncomplicated
MH9,12-Oct,P4,MID19,Thailand_Maehongson,Pumpaibool,2005,All,Uncomplicated
MH32,12-Oct,P1,MID21,Thailand_Maehongson,Pumpaibool,2005,All,Uncomplicated
RN82,13-Mar,P2,MID28,Thailand_Ranong,Pumpaibool,2006,All,Uncomplicated
RN81,12-Oct,P1,MID28,Thailand_Ranong,Pumpaibool,2006,All,Uncomplicated
RN72,12-Oct,P3,MID27,Thailand_Ranong,Pumpaibool,2006,All,Uncomplicated
RN98,12-Oct,P2,MID29,Thailand_Ranong,Pumpaibool,2006,All,Uncomplicated
RN102,12-Oct,P3,MID29,Thailand_Ranong,Pumpaibool,2006,All,Uncomplicated
RN104,12-Oct,P1,MID30,Thailand_Ranong,Pumpaibool,2006,All,Uncomplicated
RN103,12-Oct,P4,MID29,Thailand_Ranong,Pumpaibool,2006,All,Uncomplicated
RN69,12-Oct,P2,MID27,Thailand_Ranong,Pumpaibool,2006,All,Uncomplicated
RN86,12-Oct,P1,MID29,Thailand_Ranong,Pumpaibool,2006,All,Uncomplicated
RN82,12-Oct,P3,MID28,Thailand_Ranong,Pumpaibool,2006,All,Uncomplicated
T507,12-Oct,P1,MID17,Thailand_Tak,Pumpaibool,2007,All,Uncomplicated
T323,12-Oct,P3,MID17,Thailand_Tak,Pumpaibool,2007,All,Uncomplicated
T1003,12-Oct,P4,MID17,Thailand_Tak,Pumpaibool,2007,All,Uncomplicated
T229,12-Oct,P1,MID16,Thailand_Tak,Pumpaibool,2007,All,Uncomplicated
T1097,12-Oct,P2,MID18,Thailand_Tak,Pumpaibool,2007,All,Uncomplicated
T288,12-Oct,P3,MID16,Thailand_Tak,Pumpaibool,2007,All,Uncomplicated
T294,12-Oct,P4,MID16,Thailand_Tak,Pumpaibool,2007,All,Uncomplicated
T807,12-Oct,P1,MID18,Thailand_Tak,Pumpaibool,2007,All,Uncomplicated
YA33,12-Oct,P4,MID30,Thailand_Yala,Pumpaibool,2007,All,Uncomplicated
YA34,12-Oct,P1,MID31,Thailand_Yala,Pumpaibool,2007,All,Uncomplicated
YA23,12-Oct,P2,MID30,Thailand_Yala,Pumpaibool,2007,All,Uncomplicated
YA25,12-Oct,P2,MID31,Thailand_Yala,Pumpaibool,2007,All,Uncomplicated
YA32,12-Oct,P1,MID34,Thailand_Yala,Pumpaibool,2007,All,Uncomplicated
YA24,12-Oct,P3,MID30,Thailand_Yala,Pumpaibool,2007,All,Uncomplicated
YA31,12-Oct,P2,MID33,Thailand_Yala,Pumpaibool,2007,All,Uncomplicated
YA26,12-Oct,P3,MID31,Thailand_Yala,Pumpaibool,2007,All,Uncomplicated
YA19,12-Oct,P3,MID34,Thailand_Yala,Pumpaibool,2007,All,Uncomplicated
YA36,12-Oct,P4,MID31,Thailand_Yala,Pumpaibool,2007,All,Uncomplicated
YA29,12-Oct,P3,MID33,Thailand_Yala,Pumpaibool,2007,All,Uncomplicated
YA20,12-Oct,P1,MID33,Thailand_Yala,Pumpaibool,2007,All,Uncomplicated
UG60759,13-Mar,P3,MID49,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60490,13-Mar,P3,MID40,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60229,13-Mar,P2,MID32,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60201,13-Mar,P4,MID31,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60344,13-Mar,P2,MID35,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60555,13-Mar,P2,MID43,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60335,13-Mar,P1,MID35,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60177,13-Mar,P3,MID30,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60751,13-Mar,P2,MID49,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60385,13-Mar,P2,MID37,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60834,13-Mar,P1,MID51,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60681,13-Mar,P1,MID47,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60671,13-Mar,P3,MID46,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60608,13-Mar,P3,MID44,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60086,13-Mar,P1,MID29,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60164,13-Mar,P2,MID30,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60188,13-Mar,P1,MID31,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60540,13-Mar,P2,MID42,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60293,13-Mar,P4,MID33,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60244,13-Mar,P4,MID32,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60456,13-Mar,P3,MID39,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60522,13-Mar,P4,MID41,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60356,13-Mar,P2,MID36,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60547,13-Mar,P4,MID42,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60434,13-Mar,P3,MID38,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60088,13-Mar,P2,MID29,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60391,13-Mar,P3,MID37,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60633,13-Mar,P3,MID45,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60450,13-Mar,P1,MID39,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60238,13-Mar,P3,MID32,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60288,13-Mar,P3,MID33,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60666,13-Mar,P2,MID46,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60349,13-Mar,P4,MID35,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60773,13-Mar,P4,MID49,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60620,13-Mar,P2,MID45,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60525,13-Mar,P1,MID42,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60393,13-Mar,P4,MID37,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60501,13-Mar,P4,MID40,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60519,13-Mar,P3,MID41,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60139,13-Mar,P4,MID29,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60250,13-Mar,P1,MID33,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60725,13-Mar,P4,MID47,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60541,13-Mar,P3,MID42,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60838,13-Mar,P2,MID51,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60610,13-Mar,P4,MID44,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60300,13-Mar,P1,MID34,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60729,13-Mar,P2,MID48,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60566,13-Mar,P3,MID43,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60098,13-Mar,P3,MID29,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60740,13-Mar,P4,MID48,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60375,13-Mar,P4,MID36,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60693,13-Mar,P2,MID47,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60476,13-Mar,P4,MID39,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60210,13-Mar,P1,MID32,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60281,13-Mar,P2,MID33,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60726,13-Mar,P1,MID48,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60552,13-Mar,P1,MID43,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60647,13-Mar,P4,MID45,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60346,13-Mar,P3,MID35,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60181,13-Mar,P4,MID30,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60316,13-Mar,P2,MID34,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60326,13-Mar,P3,MID34,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60486,13-Mar,P2,MID40,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60455,13-Mar,P2,MID39,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60672,13-Mar,P4,MID46,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60144,13-Mar,P1,MID30,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60189,13-Mar,P2,MID31,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60332,13-Mar,P4,MID34,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60507,13-Mar,P1,MID41,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60481,13-Mar,P1,MID40,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60597,13-Mar,P2,MID44,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60199,13-Mar,P3,MID31,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60382,13-Mar,P1,MID37,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60073,13-Mar,P3,MID28,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60361,13-Mar,P3,MID36,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60738,13-Mar,P3,MID48,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG60350,13-Mar,P1,MID36,Uganda_Apac,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70500,13-Aug,P1,MID8-8,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70268,13-Aug,P2,MID2-4,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70018,13-Aug,P1,MID58-60,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70489,13-Aug,P2,MID7-8,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70761,13-Aug,P1,MID14-16,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70389,13-Aug,P1,MID4-6,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70464,13-Aug,P2,MID6-8,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70468,13-Aug,P1,MID7-7,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70165,13-Aug,P1,MID1-1,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70213,13-Aug,P1,MID2-2,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70649,13-Aug,P2,MID11-14,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70583,13-Aug,P2,MID10-11,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70025,13-Aug,P1,MID59-59,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70515,13-Aug,P2,MID8-10,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70715,13-Aug,P2,MID60-60,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70647,13-Aug,P1,MID11-14,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70088,13-Aug,P2,MID61-1,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70523,13-Aug,P1,MID8-11,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70394,13-Aug,P1,MID5-5,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70712,13-Aug,P1,MID60-60,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70637,13-Aug,P2,MID11-13,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70471,13-Aug,P2,MID7-7,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70195,13-Aug,P2,MID1-2,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70278,13-Aug,P1,MID4-4,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70081,13-Aug,P2,MID59-61,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70658,13-Aug,P1,MID13-14,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70422,13-Aug,P1,MID5-7,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70456,13-Aug,P1,MID6-8,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70106,13-Aug,P1,MID62-62,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70504,13-Aug,P1,MID8-10,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70437,13-Aug,P2,MID6-6,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70793,13-Aug,P1,MID61-62,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70274,13-Aug,P2,MID3-5,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70773,13-Aug,P1,MID61-61,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70503,13-Aug,P2,MID8-8,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70281,13-Aug,P2,MID4-4,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70594,13-Aug,P2,MID10-13,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70786,13-Aug,P2,MID61-61,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70688,13-Aug,P1,MID14-14,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70348,13-Aug,P1,MID3-3,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70066,13-Aug,P1,MID59-61,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70160,13-Aug,P2,MID62-2,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70260,13-Aug,P1,MID2-4,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70084,13-Aug,P1,MID61-1,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
UG70349,13-Aug,P2,MID3-3,Uganda_Arua,Ruybal,2006-2007,5-Jan,Uncomplicated
